document_id,external_id,name,file_path
2354843,2-s2.0-105001188124,Achieving Air Pollution Control Targets with Technology‑Aided Monitoring: Better Enforcement or Localized Efforts?,
70599,2-s2.0-105037071469,Exploring the Impact and Mechanism of Country Distance on China’s Feed Grain Import Resilience,
978986596,2-s2.0-85158041238,Pass-through effects of a temporary tax rebate on German fuel prices,
5255896145,2-s2.0-84925955291,Past and future of industrial cogeneration in the Netherlands,
4670682982,2-s2.0-85213438434,Comparison of Carbon-Dioxide Emissions of Diesel and LNG Heavy-Duty Trucks in Test Track Environment,
17316,2-s2.0-0025657178,Cost considerations on CO2 abatement,
1496381,2-s2.0-79960673583,Information system integration model of manufacturing enterprise based on object process methodology,
82251637,2-s2.0-105033938397,Role of RENKEI Control in Energy Management System and contribution to CO2 emissions reduction,
5327872,2-s2.0-84881767088,Investment decisions and emissions reductions: results from experiments in emissions trading,
3539306009,2-s2.0-84897412124,Are state renewable portfolio standards contagious?,
3711507,2-s2.0-85124210993,"The contribution of changes in climate-friendly behaviour, climate change concern and personal responsibility to household greenhouse gas emissions: Heating/cooling and transport activities in the European Union",
22784,2-s2.0-85172912414,Impact of industrial logging concession on deforestation and forest degradation in the DRC,
35860,2-s2.0-85068510562,Association between medicine Price declaration by pharmaceutical industries and retail prices in Malaysia's private healthcare sector,
845872,2-s2.0-85143744575,Are the Benefits of a High-Emission Vehicle Driving Area Restriction Policy Greater than the Costs?,
821811,2-s2.0-105020697105,CAN E-COMMERCE DEVELOPMENT DRIVE THE URBAN LOW-CARBON TRANSITION? EVIDENCE FROM CHINESE CITIES,
3320687460,2-s2.0-105028211967,"Assessment of environmental performance on farms using FADN: A case study of the Region of Mazowsze and Podlasie, Poland",
22761694,2-s2.0-85211577212,"Do green energy, command and control-based environmental regulations, and green growth catalysts for sustainable development? New evidence from China",
1358668083,2-s2.0-105028841485,Green bonds,
26618,2-s2.0-18044375164,Integrated management of residues from the manufacture of pulp for paper in Portugal,
55264,2-s2.0-105040190600,Socioeconomic Factors and Private Car-Ownership: A Correlation Study in the Helsinki Metropolitan Area,
338821687,2-s2.0-85115783131,Regulatory spillover and climate co-benefits: Evidence from New Source Review lawsuits,
600691,2-s2.0-84885089100,Assessment of the impact of the quantity of biowaste composted in individual homes on the collected waste,
1935,2-s2.0-84964001491,"Algonquin gas transmission, LLC; Maritimes & northeast pipeline, LLC; Notice of schedule for environmental review of the Atlantic bridge project",
711190465,2-s2.0-105003811423,Comparison of Heating Performance of Electric Vehicle Heat Pumps Using R1234yf and R290 Refrigerants.,
86441951,2-s2.0-85020532864,Life-cycle costs and impacts on energy-related building renovation assessments,
1222417823,2-s2.0-85126253653,"Local Standards, Behavioral Adjustments, and Welfare: Evaluating California’s Ocean-Going Vessel Fuel Rule",
45220,2-s2.0-84901421452,Regulation of pharmaceutical prices: Evidence from a reference price reform in Denmark,
755098073,2-s2.0-84856840558,"Impact of national smokefree environments laws on teachers, schools and early childhood centres",
572179031,2-s2.0-35648990995,Mammals and agri-environment schemes: Hare haven or pest paradise?,
440985839,2-s2.0-85147427069,Sound.Wood.Austria - selected measurement results of building components for multi-storey timber construction in Austria,
503195,2-s2.0-84939650454,The Effects of the Sloping Land Conversion Program on Poverty Alleviation in the Wuling Mountainous Area of China,
4379,2-s2.0-85186704002,Principal-Agent Theory-Based Analysis of China’s Green Automotive Industry Strategies,
87494975,2-s2.0-34250691948,US environmental politics: A study of state toxic metal water quality standards,
5164886192,2-s2.0-77950459241,Systematic budget allocation for transportation construction projects: A case in Taiwan,
799477,2-s2.0-85194098376,Corporate carbon performance and firm risk: Evidence from Asia-Pacific countries,
87326818,2-s2.0-85183362781,The importance of accounting method and sampling depth to estimate changes in soil carbon stocks,
12444,2-s2.0-80053465074,The impact of fuel tourism on retailers' diesel price in Spanish neighbouring regions,
607735,2-s2.0-85196211867,Influence of liberalization on the Indian manufacturing sector: Empirical evidence over 1987-2018,
617472625,2-s2.0-44349185080,The high price of sweetness: The twin challenges of efficiency and soil erosion in Fiji's sugar industry,
536433424,2-s2.0-85046667621,Avoided Deforestation Linked to Environmental Registration of Properties in the Brazilian Amazon,
1128774031,2-s2.0-33846690248,A POWERFUL parable,
868101664,2-s2.0-85063503474,Estimating the impact of air pollution on inbound tourism in China: An analysis based on regression discontinuity design,
760543100,2-s2.0-105016312792,CNOSSOS-FR: are current road traffic noise emission coefficients still representative of today’s vehicle fleet and roads?,
30438628,2-s2.0-85123167384,"Carbon Emission Trading Scheme, Carbon Emissions Reduction and Spatial Spillover Effects: Quasi-Experimental Evidence From China",
576686314,2-s2.0-85138094043,"Influence of energy structure, environmental regulations and human capital on ecological sustainability in EKC framework; evidence from MINT countries",
80383,2-s2.0-105002563976,Impact Assessment of RERA Act 2016 on Stakeholders in Construction Sector,
9643487,2-s2.0-85099919809,Greater fuel efficiency is potentially preferable to reducing NO x emissions for aviation’s climate impacts,
8552,2-s2.0-70349576334,"Rural access gain, an economic and social analysis of access to work schemes in rural communities of Scotland",
32773850,2-s2.0-85086170567,Psychosocial and economic impacts of a charge in lightweight plastic carrier bags in Portugal: Keep calm and carry on?,
662109006,2-s2.0-85163781481,Promoting or inhibiting? New-type urbanization and urban carbon emissions efficiency in China,
3778,2-s2.0-85081649061,A holistic evaluation of the impact of UK renewable strategy on emissions from compression ignition engines,
33083442,2-s2.0-105043919301,Jakarta-Bandung High-Speed Rail Project: Recognizing Chinese State Capitalism at Play,
4749,2-s2.0-84886627462,In-Situ Emissions Performance of EPA2010-Compliant On-Highway Heavy-Duty Diesel Engines,
31958261,2-s2.0-84859878169,The impact of direct income transfers of CAP on greek olive farms' performance: Using a non-monotonic inefficiency effects model,
5165687,2-s2.0-84965076835,"Sustainability Standards, Gender, and Nutrition among Smallholder Farmers in Uganda",
3491240165,2-s2.0-84902461312,A case study of low-energy houses in Northern Italy,
138620,2-s2.0-85118360660,A sectoral analysis of the role of Foreign Direct Investment in pollution and energy transition in OECD countries,
25701860,2-s2.0-85190891431,Environmental pressure and board gender diversity: Evidence from the European Union Emission Trading System,
8221,2-s2.0-84888403315,Analysis of the ecotoxicity data submitted within the framework of the REACH Regulation. Part 2. Experimental aquatic toxicity assays,
8865515,2-s2.0-85208135846,Effects of a coal to clean heating policy on acute myocardial infarction in Beijing: a difference-in-differences analysis,
915169366,2-s2.0-84894064578,An economic valuation of renewable electricity promoted by feed-in system in Spain,
6056,2-s2.0-105004282003,"Carbon offsetting in city climate action: role, determinants and characteristics",
7371616,2-s2.0-105007555913,The power of institutional innovation in the urban carbon unlocking: A study on collaborative empowerment of digital policy and new energy policy,
1392176451,2-s2.0-85091103629,The risk of carbon leakage in global climate agreements,
1154253,2-s2.0-84939996073,The default of special district financing: Evidence from California,
78809,2-s2.0-84880825308,"Land Use Changes and GHG Emissions from Tropical Forest Conversion by Oil Palm Plantations in Riau Province, Indonesia",
475517821,2-s2.0-85059352115,Environmental framing on Twitter: Impact of Trump’s Paris Agreement withdrawal on climate change and ocean acidification dialogue,
2339486256,2-s2.0-85160253485,The productivity effect of digital financial reporting,
38813154,2-s2.0-2942662260,Learning from the market: Efficient lighting in China,
2613,2-s2.0-0025837510,Alternative transportation fuels and air quality,
3679057173,2-s2.0-85217898941,How can electricity prices regulate residential electricity consumption more effectively? Evidence from first-tier cities in China,
3290818535,2-s2.0-0347307049,"Left Out in the Cold? New Energy Tariffs, Low-Income Households and the Fuel Poor",
51796082,2-s2.0-85064465842,The Paris pledges and the energy-water-land nexus in Latin America: Exploring implications of greenhouse gas emission reductions,
5665464,2-s2.0-105029062536,Advancing SDGs 13 and 15 Through Forest Protection and Green Technology in Emerging Economies,
1858869,2-s2.0-85062174637,Development and Analysis of Microgrid Operation and Control Standards of International Electrotechnical Commission,
4669270123,2-s2.0-0017729101,JAPANESE EMISSION CONTROL SYSTEMS.,
325736,2-s2.0-85094884157,Productivity effect evaluation on market-type environmental regulation: A case study of so2 emission trading pilot in China,
4482676,2-s2.0-85138206043,"Policy, technical change, and environmental efficiency: Evidence of China's power system from dynamic and spatial perspective",
659532416,2-s2.0-105014109418,Wind power subsidies: Fueling long-term renewable share but slowing short-term progress? An empirical study of OECD countries,
4254148695,2-s2.0-54049137934,A taxonomy for regulatory uncertainty-application to the European Emission Trading Scheme,
2123318202,2-s2.0-84896645779,Recycling road building materials and experience with full depth reclamation in the ontario provincial highway system,
2449096168,2-s2.0-105010866633,Understanding financial stability through the lens of geopolitical risk in China: The influence of policy uncertainty on climate change,
78991,2-s2.0-84937040833,Retail price effects of feed-in tariff regulation,
94889199,2-s2.0-85147517724,DO CARBON TAXES KILL JOBS? FIRM-LEVEL EVIDENCE FROM BRITISH COLUMBIA,
936664791,2-s2.0-79951680611,Risk factors associated with smoking behaviour in recreational venues: findings from the International Tobacco Control (ITC) China Survey.,
2292383623,2-s2.0-85187186840,Do carbon emissions trading pilots effectively reduce CO2 emissions? County-level evidence from eastern China,
745751045,2-s2.0-85077540919,Reviewing Vietnam's Nationally Determined Contribution: A New Perspective Using the Marginal Cost of Abatement,
4814681469,2-s2.0-85123258427,Does industrial transfer policy mitigate carbon emissions? Evidence from a quasi-natural experiment in China,
7443178,2-s2.0-85202213975,"Empirical study on sustainable energy development goals: Analysis of rural roof distributed photovoltaic systems in Jiangsu, China",
2201566308,2-s2.0-35748966430,Adaptation in agriculture for global climate management,
91549,2-s2.0-84986557091,Estimating impact of regional greenhouse gas initiative on coal to gas switching using synthetic control methods,
897067,2-s2.0-85059740958,Assessment of petroleum sensitive countries economic reforms in reaction to fluctuating oil prices,
3510,2-s2.0-85063453024,"Emissions, fuel economy and energy consumption of a flex fuel vehicle in different driving cycles",
636496,2-s2.0-85196222770,Analysis of the implementation of sustainable development goals and information support systems using the example of the Rostov region,
4368,2-s2.0-34247148628,Materials selection and optimization for wet flue gas desulfurization control systems,
5397,2-s2.0-85050211519,Carbon tax at the pump in British Columbia and Quebec,
2242409,2-s2.0-0027743244,Border regions and infrastructure networks in the European integration process,
1708,2-s2.0-105024710994,Growth Versus Green: How Financial Development and Energy Transition Shape Environmental Sustainability in Emerging Economies,
5332504,2-s2.0-84893636577,Economic contribution of essential air service flights on small and remote communities,
79587,2-s2.0-84886443574,Delocalization Patterns in University-Industry Interaction: Evidence from the Sixth R&D Framework Programme,
768344924,2-s2.0-84857109414,Historical evidence on the finance-trade-growth nexus,
7760,2-s2.0-85188839846,European Funding for Sustainable Transport Systems—Influencing Factor of Regional Economic Development in Romania,
1982091017,2-s2.0-29144459857,Origin and consumption of mercury in small-scale gold mining,
4433120358,2-s2.0-85149063672,The Belt and Road Initiative and Cultural Bias in Bilateral Trade with China,
3528308380,2-s2.0-85056202154,Management of air pollution in Mexico,
92123,2-s2.0-85179488063,The CO2 pilot site in Ketzin - Europe's first onshore CO2 storage project,
651086,2-s2.0-105032190455,Beyond the 1:1 assumption: Quantifying the realistic displacement of electric vehicles for life cycle assessment,
81182469,2-s2.0-84981263273,Rural Development Program measures on cultivated land in Europe to mitigate greenhouse gas emissions–regional “hotspots” and priority measures,
132385228,2-s2.0-85064138937,Missed carbon emissions from forests: Comparing countries' estimates submitted to UNFCCC to biophysical estimates,
3834514507,2-s2.0-85114134050,Exploring the effects of climate-related financial policies on carbon emissions in G20 countries: a panel quantile regression approach,
436246,2-s2.0-79151474500,End-of-Life Vehicles management: Italian material and energy recovery efficiency,
69930359,2-s2.0-85102180843,"Evaluating the environmental impact of the welsh national childhood oral health improvement programme, designed to smile",
282411,2-s2.0-84892007961,Are safety based incentives in Public Private Partnerships (PPPs) effective at improving safety ratios? The case of Spain,
